film,rus_name,year,type,rating,country,duration,age,genres,actors,description,url_picture,url_trailer,url_watch
"Scarface,Лицо со шрамом,1983 ,movie,8.171,США,170.0,18.0,""['драма', 'криминал', 'боевик']"",""['Аль Пачино', 'Стивен Бауэр', 'Мишель Пфайффер', 'Мэри Элизабет Мастрантонио', 'Роберт Лоджа', 'Мириам Колон', 'Ф. Мюррэй Абрахам', 'Пол Шенар', 'Харрис Юлин', 'Анхель Саласар', 'Джорджо Мородер', 'Эдвард Ричардсон', 'Патриша Норрис', 'Брюс Вайнтрауб', 'Брайан Де Пальма', 'Джералд Б. Гринберг', 'Дэвид Рэй', 'Джон А. Алонсо', 'Мартин Брегман', 'Питер Сэфир', 'Луис А. Строллер', 'Андрей Вальц', 'Сергей Анненков', 'Варвара Чабан', 'Юлия Горохова', 'Геннадий Новиков', 'Оливер Стоун', 'Армитэдж Трэйл', 'Бен Хект', 'Ховард Хоукс']"",Кубинский иммигрант становится главой наркомафии в Майами 1980-х. Жесткая драма с выдающейся ролью Аль Пачино,https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/1303d9e8-8fdb-4290-a42f-0491a2910a83/orig,https://www.youtube.com/embed/D64n6DIkPzw,https://okko.tv/movie/scarface?utm_medium=referral&utm_source=yandex_search&utm_campaign=new_search_feed"
"Брат,Брат,1997 ,movie,8.305,Россия,100.0,18.0,""['драма', 'криминал', 'боевик']"",""['Сергей Бодров мл.', 'Виктор Сухоруков', 'Светлана Письмиченко', 'Мария Милютина', 'Юрий Кузнецов', 'Сергей Мурзин', 'Ирина Ракшина', 'Анатолий Журавлев', 'Андрей Федорцов', 'Андрей Краско', 'Вячеслав Бутусов', 'Надежда Васильева', 'Алексей Балабанов', 'Марина Липартия', 'Сергей Астахов', 'Сергей Сельянов', 'Алексей Полуян', 'Александр Строев', 'Валерий Кухарешин', 'Сергей Русскин', 'Виктор Бычков', 'Алексей Балабанов']"",""Дембель Данила Багров защищает слабых в Петербурге 1990-х. Фильм, сделавший Сергея Бодрова народным героем"",https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/e9008e2f-433f-43b0-b9b8-2ea8e3fb6c9b/orig,https://www.youtube.com/embed/cD2MCd7grm4,https://hd.kinopoisk.ru/?rt=492c446642bf8dc88f0abcb9a4b02f7f"
"Брат 2,Брат 2,2000 ,movie,8.194,Россия,127.0,18.0,""['боевик', 'криминал']"",""['Сергей Бодров мл.', 'Виктор Сухоруков', 'Сергей Маковецкий', 'Ирина Салтыкова', 'Кирилл Пирогов', 'Александр Дьяченко', 'Дарья Юргенс', 'Александр Наумов', 'Александр Карамнов', 'Гэри Хьюстон', 'Вячеслав Бутусов', 'Деба Грэй', 'Джуди Кропш', 'Лаура Дарнер', 'Надежда Васильева', 'Алексей Балабанов', 'Марина Липартия', 'Сергей Астахов', 'Валери Гобо', 'Сергей Сельянов', 'Тимоти Е. Сабо', 'Тобин Обер', 'Алексей Полуян', 'Наталья Данилова', 'Роман Агеев', 'Юрий Стоянов', 'Нина Усатова', 'Алексей Балабанов']"",""Американцы знакомятся с Данилой Багровым и узнают, в чем сила. Сиквел о герое времени с мощным рок-саундтреком"",https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/80eab631-346c-4c29-b14d-1fa1438158f9/orig,https://www.youtube.com/embed/GPffK9Ap71E,https://hd.kinopoisk.ru/?rt=4e2111b36611a21e87e293af0b7e7ee1"
"Nightcrawler,Стрингер,2013 ,movie,7.363,США,118.0,18.0,""['триллер', 'драма', 'криминал']"",""['Джейк Джилленхол', 'Рене Руссо', 'Риз Ахмед', 'Билл Пэкстон', 'Майкл Пападжон', 'Марко Родригес', 'Джеймс Хуанг', 'Кент Шокнек', 'Пэт Харви', 'Шэрон Тэй', 'Джеймс Ньютон Ховард', 'Наман Маршалл', 'Эми Весткотт', 'Мэг Эверист', 'Дэн Гилрой', 'Джон Гилрой', 'Роберт Элсвит', 'Дженнифер Фокс', 'Тони Гилрой', 'Джейк Джилленхол', 'Дэвид Ланкастер', 'Дэн Гилрой']"",Одержимому шок-новостями репортеру-социопату мораль — не помеха. Яркая роль Джейка Джилленхола,https://avatars.mds.yandex.net/get-kinopoisk-image/1777765/f27881ed-69cc-4a71-9427-46fe1e323d63/orig,https://www.youtube.com/embed/7uaYhPpV7G4,https://hd.kinopoisk.ru/?rt=4a3debea2a0c96f9b73b6af36e68a93b"
"Memento,Мементо,2000 ,movie,7.879,США,113.0,18.0,""['триллер', 'детектив', 'драма', 'криминал']"",""['Гай Пирс', 'Кэрри-Энн Мосс', 'Джо Пантольяно', 'Марк Бун мл.', 'Расс Фега', 'Джоржа Фокс', 'Стивен Тоболовски', 'Харриет Сэнсом Харрис', 'Томас Леннон', 'Каллум Кит Ренни', 'Дэвид Джульян', 'Синди Эванс', 'Даниэль Берман', 'Кристофер Нолан', 'Доди Дорн', 'Уолли Пфистер', 'Дженнифер Тодд', 'Сюзанн Тодд', 'Кристофер Болл', 'Илэйн Дусингер', 'Леонид Белозорович', 'Любовь Германова', 'Вадим Андреев', 'Рудольф Панков', 'Дмитрий Матвеев', 'Кристофер Нолан', 'Джонатан Нолан']"",""Леонард ищет убийцу жены, но ему мешает амнезия. Виртуозный триллер, сделавший Кристофера Нолана суперзвездой"",https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/3fabdd0d-9b34-4cbf-a3b0-eb8448ccc122/orig,https://www.youtube.com/embed/4HB3_Xbs-B8,https://hd.kinopoisk.ru/?rt=4a345ea5184cf90eb2a56f05b465e217"
"Papillon,Мотылёк,2017 ,movie,7.519,США,133.0,18.0,""['драма', 'криминал', 'приключения', 'биография']"",""['Чарли Ханнэм', 'Рами Малек', 'Роланд Мёллер', 'Йоэль Басман', 'Йорик ван Вагенинген', 'Майкл Соча', 'Кристофер Фэйрбэнк', 'Ив Хьюсон', 'Томми Флэнаган', 'Николас Асбари', 'Дэвид Бакли', 'Том Фролинг', 'Наташа Герасимова', 'Ненад Пекур', 'Бояна Никитович', 'Дженнифер М. Джентиле', 'Михаэль Ноер', 'Джон Экселрэд', 'Ли Хаген', 'Хаген Богданский', 'Рэм Бергман', 'Теренс Чан', 'Роджер Корби', 'Дэнни Димборт', 'Михаил Данилюк', 'Александр Гаврилин', 'Михаил Тишин', 'Дмитрий Гаврилов', 'Олег Лепенец', 'Аарон Гузиковский', 'Далтон Трамбо', 'Лоренцо Семпл мл.', 'Анри Шарьер']"",""Арестант ловко бежит из тюрьмы. Экранизация мемуаров Анри Шарьера, который не раз упархивал на свободу"",https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/8e08470b-0241-47f4-9ee6-32406da24df5/orig,https://www.youtube.com/embed/B7H76JMCcHs,https://wink.ru/media_items/74709175?utm_source=yandex&utm_medium=koldunschick&utm_content=name"
"Snatch,Большой куш,2000 ,movie,8.551,Великобритания,104.0,18.0,""['криминал', 'комедия', 'боевик']"",""['Джейсон Стэйтем', 'Стивен Грэм', 'Брэд Питт', 'Алан Форд', 'Робби Ги', 'Ленни Джеймс', 'Эд', 'Деннис Фарина', 'Раде Шербеджия', 'Винни Джонс', 'Джон Мерфи', 'Джули Филпотт', 'Верити Хоукс', 'Линда Уилсон', 'Гай Ричи', 'Джон Харрис', 'Тим Морис-Джонс', 'Мэттью Вон', 'Майкл Дрейер', 'Стефен Маркс', 'Питер Мортон', 'Илья Крутояров', 'Алексей Филимончев', 'Александр Матвеев', 'Валерий Сторожик', 'Михаил Кшиштовский', 'Гай Ричи']"",""На охоту за крупным алмазом выходят цыгане, евреи и местные головорезы. Криминальная Англия глазами Гая Ричи"",https://avatars.mds.yandex.net/get-kinopoisk-image/4303601/47fe48f6-ff17-4411-a12f-d337bea2639d/orig,https://www.youtube.com/embed/AMZH867eWS4,https://hd.kinopoisk.ru/?rt=47cf35a5d38ad7b5aaf5e51fbb1e7867"
"The Irishman,Ирландец,2019 ,movie,7.407,США,209.0,,""['криминал', 'драма', 'биография']"",""['Роберт Де Ниро', 'Аль Пачино', 'Джо Пеши', 'Рэй Романо', 'Бобби Каннавале', 'Анна Пэкуин', 'Стивен Грэм', 'Стефани Курцуба', 'Джесси Племонс', 'Кэтрин Нардуччи', 'Робби Робертсон', 'Лора Боллинджер', 'Дж. Марк Хэррингтон', 'Даг Хусти', 'Кристофер Петерсон', 'Сэнди Пауэлл', 'Реджина Грейвз', 'Мартин Скорсезе', 'Тельма Скунмейкер', 'Родриго Прието', 'Ричард Баратта', 'Марианн Бауэр', 'Джералд Чамалс', 'Роберт Де Ниро', 'Владимир Антоник', 'Владимир Еремин', 'Пётр Тобилевич', 'Андрей Казанцев', 'Александр Воронов', 'Стивен Зеллиан', 'Чарльз Брандт']"",,https://avatars.mds.yandex.net/get-kinopoisk-image/1900788/bdeaa0c2-fe6a-4007-a47b-1d9f9d9547d3/orig,https://www.youtube.com/embed/rZi3rvGv9ek,"
"Inception,Начало,2010 ,movie,8.663,США,148.0,12.0,""['фантастика', 'боевик', 'триллер', 'драма', 'детектив']"",""['Леонардо ДиКаприо', 'Джозеф Гордон-Левитт', 'Эллиот Пейдж', 'Том Харди', 'Кэн Ватанабэ', 'Дилип Рао', 'Киллиан Мерфи', 'Том Беренджер', 'Марион Котийяр', 'Пит Постлетуэйт', 'Ханс Циммер', 'Люк Фриборн', 'Мэттью Грэй', 'Брэд Рикер', 'Дин Уолкотт', 'Джеффри Кёрланд', 'Ларри Диас', 'Дуглас А. Моуат', 'Кристофер Нолан', 'Ли Смит', 'Уолли Пфистер', 'Кристофер Нолан', 'Эмма Томас', 'Закария Алауи', 'Джон Бернард', 'Сергей Бурунов', 'Илья Бледный', 'Мария Иващенко', 'Василий Дахненко', 'Алексей Рязанцев', 'Кристофер Нолан']"",Профессиональные воры внедряются в сон наследника огромной империи. Фантастический боевик Кристофера Нолана,https://st.kp.yandex.net/images/film_big/447301.jpg,https://www.youtube.com/embed/RlKr_lO45Nc,"
"Леон,Леон,1994 ,movie,8.668,Франция,133.0,16.0,""['боевик', 'триллер', 'драма', 'криминал']"",""['Жан Рено', 'Натали Портман', 'Гари Олдман', 'Дэнни Айелло', 'Питер Эппел', 'Уилли Уан Блад', 'Дон Крич', 'Кит А. Гласко', 'Рэндольф Скотт', 'Майкл Бадалукко', 'Эрик Серра', 'Жерар Дролон', 'Магали Гвидаси', 'Франсуаз Бенуа-Фреско', 'Люк Бессон', 'Сильви Ландра', 'Тьерри Арбогаст', 'Клод Бессон', 'Джон Гарлэнд', 'Бернард Гренет', 'Люк Бессон']"",,https://st.kp.yandex.net/images/film_big/389.jpg,https://www.youtube.com/embed/hvya_q8KM80,"
"Se7en,Семь,1995 ,movie,8.294,США,127.0,18.0,""['триллер', 'драма', 'криминал', 'детектив']"",""['Брэд Питт', 'Морган Фриман', 'Гвинет Пэлтроу', 'Кевин Спейси', 'Р. Ли Эрми', 'Джон К. Макгинли', 'Ричард Шифф', 'Ричард Раундтри', 'Марк Бун мл.', 'Рег Ю. Кэти', 'Говард Шор', 'Гари Уисснер', 'Майкл Каплан', 'Клэй А. Гриффит', 'Дэвид Финчер', 'Ричард Фрэнсис-Брюс', 'Дариус Хонджи', 'Стивен Браун', 'Филлис Карлайл', 'Уильям С. Геррити', 'Нана Гриволд', 'Александр Матвеев', 'Алексей Войтюк', 'Татьяна Абрамова', 'Иван Калинин', 'Александр Носков', 'Эндрю Кевин Уокер']"",""Детективы ищут маньяка, убивающего грешников. Выдающийся триллер Дэвида Финчера, ставший классикой жанра"",https://st.kp.yandex.net/images/film_big/377.jpg,https://www.youtube.com/embed/SpKbZ_3zlb0,"
"Joker,Джокер,2019 ,movie,7.98,США,122.0,18.0,""['драма', 'криминал', 'триллер']"",""['Хоакин Феникс', 'Роберт Де Ниро', 'Зази Битц', 'Фрэнсис Конрой', 'Бретт Каллен', 'Шей Уигэм', 'Билл Кэмп', 'Гленн Флешлер', 'Ли Гилл', 'Джош Пейс', 'Хильдур Гуднадоуттир', 'Лора Боллинджер', 'Марк Бриджес', 'Крис Моран', 'Тодд Филлипс', 'Джефф Грот', 'Лоуренс Шер', 'Ричард Баратта', 'Брюс Берман', 'Джейсон Клот', 'Брэдли Купер', 'Андрей Вальц', 'Александр Клюквин', 'Вероника Саркисова', 'Ольга Сирина', 'Олег Куценко', 'Тодд Филлипс', 'Скотт Сильвер', 'Боб Кейн', 'Билл Фингер']"",Как неудачливый комик стал самым опасным человеком в Готэме. Бенефис Хоакина Феникса и «Оскар» за саундтрек,https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/84934543-5991-4c93-97eb-beb6186a3ad7/orig,https://www.youtube.com/embed/VyhNf4tsyzY,"
"The Matrix,Матрица,1999 ,movie,8.497,США,136.0,16.0,""['фантастика', 'боевик']"",""['Киану Ривз', 'Лоренс Фишбёрн', 'Кэрри-Энн Мосс', 'Хьюго Уивинг', 'Глория Фостер', 'Джо Пантольяно', 'Маркус Чонг', 'Джулиан Араханга', 'Мэтт Доран', 'Белинда МакКлори', 'Дон Дэвис', 'Хью Бэйтап', 'Мишель МакГэхи', 'Ким Барретт', 'Лиза Бреннан', 'Тим Феррье', 'Марта МакЭлрой', 'Лана Вачовски', 'Лилли Вачовски', 'Зак Стэнберг', 'Билл Поуп', 'Джоэл Силвер', 'Брюс Берман', 'Дэн Краччиоло', 'Кэрол Хьюз', 'Всеволод Кузнецов', 'Владимир Вихров', 'Елена Соловьева', 'Владимир Антоник', 'Светлана Старикова', 'Лилли Вачовски', 'Лана Вачовски']"",""Хакер Нео узнает, что его мир — виртуальный. Выдающийся экшен, доказавший, что зрелищное кино может быть умным"",https://st.kp.yandex.net/images/film_big/301.jpg,https://www.youtube.com/embed/YihPA42fdQ8,"
"Split,,2016 ,movie,0.0,США,127.0,,""['фэнтези', 'драма']"",""['Эми Фергюсон', 'Морган Спектор', 'Анна Муглалис', 'Фредрик Лене', None, 'Антония Кэмпбелл-Хьюз', 'Джоан Макинтош', 'Дженнифер Онви', None, 'Джонни Хопкинс', 'Рутаня Олда', None, None, 'Ричард Элдис', None, 'Нгоци Джейн Анянву', 'Ив Остин', 'Брук Экстелл', 'Каприс Бенедетти', 'Майкл Беррессе', 'Сахар Бибиян', 'Люси Кэмпбелл', 'Филлипп Куке', 'Даг Дракер', 'Рэйчел Паттен', 'Кана Хатакэяма', 'Захари Эрнандес', None, 'Мириам А. Химэн', 'Мими Джеффресон', 'Латифа Джонсон', 'Селин Джастис', 'Том Кемнитц мл.', None, 'Дженнифер Линн Тьюн', 'Микаэла Мартин', 'Дезри Мэтьюз', None, 'Дипти Мета', 'Лорен Молина', None, None, 'Хе Юн Пак', None, 'Кит Перри', None, 'Джен Понтон', 'Йолонда Росс', None, 'Норико Сато', 'Нэнси Шварцман', None, None, 'Полин Шерроу', None, 'Сара Стрит', 'Анна Судзуки', 'Алок Тевари', 'Дженнифер Цай', 'Кэтлин Уайз', 'Николас Уаймэн', None, 'Микеланджело Сосновиц', 'Элуиз Кэзан', 'Том Сопер', 'Элуиз Кэзан', None, 'Дебора Кампмейер', 'Сиобэн Данн', 'Элисон Келли', None, 'Трой Йохансон', 'Дебора Кампмейер', None, 'Дебора Кампмейер']"",,https://st.kp.yandex.net/images/film_big/807368.jpg,https://www.youtube.com/embed/qAUjgF4Nlgo,"
"Goodfellas,Славные парни,1990 ,movie,8.123,США,140.0,18.0,""['драма', 'криминал', 'биография']"",""['Роберт Де Ниро', 'Рэй Лиотта', 'Джо Пеши', 'Лоррейн Бракко', 'Пол Сорвино', 'Фрэнк Сиверо', 'Тони Дарроу', 'Майк Старр', 'Фрэнк Винсент', 'Чак Лоу', 'Мехер Ахмад', 'Ричард Бруно', 'Лесли Блум', 'Мартин Скорсезе', 'Джеймс Й. Куэй', 'Тельма Скунмейкер', 'Михаэль Балльхаус', 'Ирвин Уинклер', 'Барбара Де Фина', 'Брюс С. Пастин', 'Всеволод Кузнецов', 'Борис Быстров', 'Валерий Сторожик', 'Егор Грамматиков', 'Вячеслав Баранов', 'Мартин Скорсезе', 'Николас Пиледжи']"",Путь к власти легендарного мафиози Генри Хилла. Гангстерская классика Мартина Скорсезе с Робертом Де Ниро,https://st.kp.yandex.net/images/film_big/350.jpg,https://www.youtube.com/embed/wJKsgjY1qyo,"
